isotope, initial state, final states, official detuning (MHz), measured detuning (MHz), deviation (%) (3sf)
87Rb, f=2, f'=1/2, 156.947 ± 0.007, 158.0  ± 2.5 , 0.671
87Rb, f=2, f'=2/3, 266.650 ± 0.009, 265.8  ± 1.3 , 0.319

85Rb, f=3, f'=2/3,  63.401 ± 0.061,  63.5  ± 2.1 , 0.156
85Rb, f=3, f'=3/4, 120.640 ± 0.068, 120.32 ± 0.70, 0.265

85Rb, f=2, f'=1/2,  29.372 ± 0.09,   29.45 ± 0.83, 0.266
85Rb, f=2, f'=2/3,  63.401 ± 0.061,  63.4  ± 1.0 , 0.00158

87Rb, f=1, f'=0/1,  72.218 ± 0.004,  70.6  ± 2.5 , 2.24
87Rb, f=1, f'=1/2, 156.947 ± 0.007, 155.57 ± 0.75, 0.877
